"No","FECHA1","FECHA2","DIAS","Dias2","NIVEL.cms.","CAUDAL_LIQUIDO.m3.s.","GASTO_SOLIDO.Kg.s.","Sed._rate.mm.yr.","CONCENTRACION_MEDIA.Kg.m3.","CONCENTRACION_SUPERFICIAL.Kg.m3.","mes","fecha","date"
24,19900320,32952,32952,2217,19,0.16,0.007,0.000682429,0.041,0.051,"03","19900320","1990-03-20"
25,19900722,33076,33076,2341,19,0.173,0.015,0.001462349,0.089,0.021,"07","19900722","1990-07-22"
26,19910915,33496,33496,2761,16,0.05,0.001,9.74899e-05,0.008,0.025,"09","19910915","1991-09-15"
27,19911124,33566,33566,2831,34,0.92,0.014,0.001364859,0.015,0.15,"11","19911124","1991-11-24"
28,19920707,33792,33792,3057,18,0.132,0.002,0.00019498,0.012,0.01,"07","19920707","1992-07-07"
29,19920930,33877,33877,3142,28,0.49,0.008,0.000779919,0.017,0.042,"09","19920930","1992-09-30"
30,19930706,34156,34156,3421,24,0.35,0.04,0.003899596,0.113,0.03,"07","19930706","1993-07-06"
31,19930925,34237,34237,3502,37,1.35,0.044,0.004289556,0.033,0.035,"09","19930925","1993-09-25"
32,19931212,34315,34315,3580,25,0.49,0.015,0.001462349,0.03,0.031,"12","19931212","1993-12-12"
33,19941101,34639,34639,3904,28,0.28,0.009,0.000877409,0.033,0.047,"11","19941101","1994-11-01"
34,19950712,34892,34892,4157,22,0.36,0.066,0.006434334,0.182,0.041,"07","19950712","1995-07-12"
35,19950907,34949,34949,4214,39,2.06,0.153,0.014915955,0.074,0.092,"09","19950907","1995-09-07"
36,19951012,34984,34984,4249,87,14.12,0.888,0.086571035,0.063,0.054,"10","19951012","1995-10-12"
37,19951106,35009,35009,4274,24,0.53,0.03,0.002924697,0.057,0.051,"11","19951106","1995-11-06"
38,19960304,35128,35128,4393,14,0.14,0.01,0.000974899,0.07,0.045,"03","19960304","1996-03-04"
39,19960514,35199,35199,4464,16,0.15,0.006,0.000584939,0.04,0.045,"05","19960514","1996-05-14"
40,19970310,35499,35499,4764,14,0.14,0.006,0.000584939,0.045,0.073,"03","19970310","1997-03-10"
41,19980430,35915,35915,5180,11,0.106,0.005,0.00048745,0.046,0.048,"04","19980430","1998-04-30"
42,19980527,35942,35942,5207,18,0.652,0.025,0.002437248,0.039,0.04,"05","19980527","1998-05-27"
43,19981007,36075,36075,5340,35,1.523,0.025,0.002437248,0.017,0.097,"10","19981007","1998-10-07"
44,19981031,36099,36099,5364,46,2.126,0.028,0.002729717,0.013,0.012,"10","19981031","1998-10-31"
45,19990303,36222,36222,5487,32,1.373,0.179,0.017450693,0.13,0.023,"03","19990303","1999-03-03"
46,19990409,36259,36259,5524,62,2.745,0.286,0.027882112,0.104,0.049,"04","19990409","1999-04-09"
47,19990512,36292,36292,5557,25,0.647,0.007,0.000682429,0.01,0.01,"05","19990512","1999-05-12"
48,19990619,36330,36330,5595,60,2.421,0.05,0.004874495,0.021,0.02,"06","19990619","1999-06-19"
49,19990814,36386,36386,5651,73,3.466,0.26,0.025347375,0.075,0.072,"08","19990814","1999-08-14"
50,19991026,36459,36459,5724,40,1.329,0.02,0.001949798,0.015,0.012,"10","19991026","1999-10-26"
51,20000331,36616,36616,5881,36,1.423,0.023,0.002242268,0.016,0.013,"03","20000331","2000-03-31"
52,20000715,36722,36722,5987,22,0.387,0.006,0.000584939,0.017,0.019,"07","20000715","2000-07-15"
53,20001205,36865,36865,6130,35,1.482,0.043,0.004192066,0.029,0.016,"12","20001205","2000-12-05"
54,20010406,36987,36987,6252,13,0.091,0.001,9.74899e-05,0.012,0.014,"04","20010406","2001-04-06"
55,20030329,37709,37709,6974,12,0.196,0.001,9.74899e-05,0.005,0.004,"03","20030329","2003-03-29"
56,20040312,38058,38058,7323,17,0.206,0.005,0.00048745,0.027,0.013,"03","20040312","2004-03-12"
57,20040806,38205,38205,7470,23,0.306,0.007,0.000682429,0.023,0.013,"08","20040806","2004-08-06"
58,20040809,38208,38208,7473,23,0.306,0.007,0.000682429,0.023,0.013,"08","20040809","2004-08-09"
59,20050416,38458,38458,7723,26,0.458,0.004,0.00038996,0.009,0.016,"04","20050416","2005-04-16"
