"date","discharge","new_sedyield","new_sedyield.Kg.day","numDays","new_sedyield.Kg.total"
"1963-01-01",0.667,0.0180796057566093,1562.07793737105,31,48424.4160585024
"1963-02-01",0.238,0.00626686633022393,541.457250931347,28,15160.8030260777
"1963-03-01",0,0,0,31,0
"1963-04-01",1.074,0.0295044103353941,2549.18105297805,30,76475.4315893415
"1963-05-01",3.622,0.102963260967975,8896.02574763306,31,275776.798176625
"1963-06-01",0.771,0.020983971796063,1813.01516317984,30,54390.4548953953
"1963-07-01",0.582,0.0157152291375495,1357.79579748428,31,42091.6697220125
"1963-08-01",0.795,0.0216558350622302,1871.06414937669,31,58002.9886306773
"1963-09-01",1.735,0.0483104993618646,4174.0271448651,30,125220.814345953
"1963-10-01",1.742,0.0485109063325983,4191.34230713649,31,129931.611521231
"1963-11-01",4.34,0.124003218021943,10713.8780370959,30,321416.341112876
"1963-12-01",1.674,0.0465650682995996,4023.2219010854,31,124719.878933647
"1964-01-01",0.495,0.0133053063133053,1149.57846546958,31,35636.9324295569
"1964-02-01",0.155,0.00403242271738933,348.401322782438,29,10103.6383606907
"1964-03-01",0,0,0,31,0
"1964-04-01",0.512,0.0137753347811534,1190.18892509165,30,35705.6677527495
"1964-05-01",1.102,0.0302955382475571,2617.53450458893,31,81143.5696422568
"1964-06-01",4.341,0.124032594028575,10716.4161240689,30,321492.483722068
"1964-07-01",4.954,0.142074379274776,12275.2263693407,31,380532.017449561
"1964-08-01",9.556,0.279165678658082,24119.9146360583,31,747717.353717808
"1964-09-01",3.568,0.101385343789177,8759.69370338493,30,262790.811101548
"1964-10-01",4.828,0.13836055159726,11954.3516580033,31,370584.901398102
"1964-11-01",0.99,0.0271345680489059,2344.42667942547,30,70332.800382764
"1964-12-01",0.242,0.00637518010353101,550.815560945079,31,17075.2823892975
"1965-01-01",0.177,0.00462199095077193,399.340018146695,31,12379.5405625475
"1965-02-01",0.174,0.00454146773968444,392.382812708735,28,10986.7187558446
"1965-03-01",0.292,0.00773311475799047,668.141115090377,31,20712.3745678017
"1965-04-01",0.06,0.00151981553328546,131.312062075864,30,3939.36186227591
"1965-05-01",1.314,0.0363029551901215,3136.5753284265,31,97233.8351812215
"1965-06-01",0.619,0.0167433116995187,1446.62213083842,30,43398.6639251526
"1965-07-01",0.307,0.00814182881150838,703.454009314324,31,21807.074288744
"1965-08-01",0.571,0.0154099322602076,1331.41814728194,31,41273.9625657401
"1965-09-01",1.521,0.0421951999755072,3645.66527788382,30,109369.958336515
"1965-10-01",1.786,0.0497711225160684,4300.22498538831,31,133306.974547038
"1965-11-01",3.706,0.105419110991531,9108.2111896683,30,273246.335690049
"1965-12-01",1.93,0.0539014687490805,4657.08689992055,31,144369.693897537
"1966-01-01",0.788,0.021459815223156,1854.12803528068,31,57477.9690937011
"1966-02-01",0.102,0.0026225415570832,226.587590531989,28,6344.45253489568
"1966-03-01",0,0,0,31,0
"1966-04-01",0.027,0.000668725963143833,57.7779232156272,30,1733.33769646881
"1966-05-01",0.238,0.00626686633022393,541.457250931347,31,16785.1747788718
"1966-06-01",5.2,0.149332788568517,12902.3529323198,30,387070.587969595
"1966-07-01",1.077,0.0295891465547951,2556.50226233429,31,79251.5701323631
"1966-08-01",8.659,0.252260593306133,21795.3152616499,31,675654.773111148
"1966-09-01",16.97,0.503829464673954,43530.8657478297,30,1305925.97243489
"1966-10-01",4.04,0.115199211433149,9953.21186782406,31,308549.567902546
"1966-11-01",12.04,0.354026072363318,30587.8526521907,30,917635.57956572
"1966-12-01",7.39,0.21433352032006,18518.4161556531,31,574070.900825248
"1967-01-01",0.037,0.000924560694589277,79.8820440125135,31,2476.34336438792
"1967-02-01",0,0,0,28,0
"1967-03-01",0.048,0.00120824433078147,104.392310179519,31,3236.16161556509
"1967-04-01",0.301,0.00797827419638042,689.322890567268,30,20679.686717018
"1967-05-01",3.905,0.111243326773738,9611.42343325099,31,297954.126430781
"1967-06-01",1.485,0.0411687477597206,3556.97980643986,30,106709.394193196
"1967-07-01",2.798,0.0789638172477764,6822.47381020788,31,211496.688116444
"1967-08-01",8.336,0.242591147224283,20959.875120178,31,649756.128725518
"1967-09-01",2.605,0.0733694039174274,6339.11649846573,30,190173.494953972
"1967-10-01",2.338,0.0656493883613186,5672.10715441793,31,175835.321786956
"1967-11-01",2.135,0.059796314102404,5166.40153844771,30,154992.046153431
"1967-12-01",0.655,0.0177452706855369,1533.19138723039,31,47528.933004142
"1968-01-01",0.28,0.00740656718705529,639.927404961577,31,19837.7495538089
"1968-02-01",0.409,0.0109348165309185,944.768148271359,29,27398.2762998694
"1968-03-01",0,0,0,31,0
"1968-04-01",0.693,0.0188045751777032,1624.71529535355,30,48741.4588606066
"1968-05-01",2.861,0.0807923621166659,6980.46008687993,31,216394.262693278
"1968-06-01",3.422,0.0971225148529657,8391.38528329624,30,251741.558498887
"1968-07-01",0.344,0.0091523418079065,790.762332203122,31,24513.6322982968
"1968-08-01",0.593,0.0160206883850171,1384.18747646548,31,42909.8117704298
"1968-09-01",0.696,0.0188882752968321,1631.9469856463,30,48958.4095693889
"1968-10-01",2.338,0.0656493883613186,5672.10715441793,31,175835.321786956
"1968-11-01",2.135,0.059796314102404,5166.40153844771,30,154992.046153431
"1968-12-01",0.655,0.0177452706855369,1533.19138723039,31,47528.933004142
"1969-01-01",0.695,0.0188603741273142,1629.53632459995,31,50515.6260625984
"1969-02-01",0.502,0.0134987933272455,1166.29574347401,28,32656.2808172723
"1969-03-01",0.502,0.0134987933272455,1166.29574347401,31,36155.1680476943
